ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
ALR000010769,AL    ,49221
ALR000019364,AL    ,811121
ALD983174905,AL    ,332313
ALR000030965,AL    ,332312
ALD981922701,AL    ,324121
ALR000040345,AL    ,23731
ALR000007187,AL    ,811111
ALR000005199,AL    ,811111
ALR000037143,AL    ,44112
ALR000018044,AL    ,484122
ALD983182643,AL    ,48411
ALR000024133,AL    ,81111
AL0000377945,AL    ,44131
ALR000002121,AL    ,332721
ALR000042630,AL    ,447190
AL0000679696,AL    ,811111
ALD983191941,AL    ,811191
ALD982132789,AL    ,33271
ALR000044990,AL    ,562111
ALR000023309,AL    ,321912
ALR000007872,AL    ,332710
ALD031582851,AL    ,44111
ALR000038471,AL    ,44411
ALD983176462,AL    ,321113
ALR000043935,AL    ,811191
ALR000035212,AL    ,61111
ALR000031161,AL    ,53249
ALD038264461,AL    ,811111
AL4640006652,AL    ,221111
ALR000030726,AL    ,48691
ALR000013532,AL    ,811121
ALR000016998,AL    ,811118
ALD983166455,AL    ,325998
ALD040649915,AL    ,332116
ALR000034405,AL    ,333921
ALR000017459,AL    ,811111
ALR000010835,AL    ,49221
ALR000006619,AL    ,42272
ALD983173790,AL    ,23595
ALD983191693,AL    ,811121
AL0000045385,AL    ,33241
ALD982100414,AL    ,562
ALD981025786,AL    ,81232
ALD981024664,AL    ,811111
ALD106168081,AL    ,332322
ALD004001731,AL    ,336211
ALR000050476,AL    ,81111
ALR000010488,AL    ,56291
ALD981932940,AL    ,811191
ALR000034215,AL    ,336611
ALD070507868,AL    ,332813
ALD034107748,AL    ,44131
ALR000035717,AL    ,324121
ALR000040683,AL    ,44419
ALR000048306,AL    ,92811
ALR000047506,AL    ,811191
ALR000034082,AL    ,332999
ALR000040444,AL    ,48849
ALD982144370,AL    ,49312
ALR000035469,AL    ,61111
ALD982085839,AL    ,56111
ALR000031922,AL    ,48841
ALR000022426,AL    ,33231
ALD003395993,AL    ,327993
ALR000030742,AL    ,811198
ALD004005203,AL    ,23591
ALD081384901,AL    ,332116
ALD981023286,AL    ,811111
ALR000041228,AL    ,452311
ALD982087017,AL    ,44111
ALR000028530,AL    ,32512
AL0000881730,AL    ,81111
ALR000035691,AL    ,811118
ALR000038216,AL    ,452210
ALD983170184,AL    ,42272
ALD982161408,AL    ,62211
ALD004488169,AL    ,321114
ALD983193673,AL    ,42182
ALR000028225,AL    ,811111
ALR000051722,AL    ,44611
ALR000024653,AL    ,311615
ALR000002402,AL    ,23331
ALD047867494,AL    ,331524
ALR000026088,AL    ,532412
ALR000022558,AL    ,237310
ALR000003954,AL    ,321219
ALR000029348,AL    ,32221
ALD037483765,AL    ,48819
ALD981757883,AL    ,81111
ALR000022855,AL    ,562212
ALR000023507,AL    ,81111
ALR000010538,AL    ,32311
ALR000030999,AL    ,482112
ALD982142788,AL    ,331524
ALR000036327,AL    ,62211
ALD180045619,AL    ,811111
ALR000033761,AL    ,23731
ALD982085888,AL    ,811191
ALR000029496,AL    ,484121
ALD004022240,AL    ,23331
